Time,X-Gyro,Y-Gyro,Z-Gyro,X-Accel,Y-Accel,Z-Accel
39.481,-64.00,-14036.00,-8860.00,-348.00,339.00,16.00
39.584,-20.00,-13996.00,-8580.00,-338.00,319.00,38.00
39.687,0.00,-14088.00,-8672.00,-367.00,337.00,30.00
39.791,-48.00,-13968.00,-8844.00,-385.00,351.00,7.00
39.894,-24.00,-14072.00,-8868.00,-365.00,345.00,9.00
39.997,-20.00,-14024.00,-8848.00,-358.00,342.00,26.00
40.101,-132.00,-13996.00,-8812.00,-359.00,349.00,16.00
40.204,-56.00,-14028.00,-8928.00,-324.00,314.00,34.00
40.307,-56.00,-14012.00,-8732.00,-373.00,334.00,26.00
40.411,-88.00,-13968.00,-8736.00,-358.00,348.00,31.00
40.514,-96.00,-14076.00,-8800.00,-343.00,335.00,2.00
40.617,16.00,-14008.00,-8752.00,-367.00,343.00,33.00
40.721,-84.00,-14104.00,-8644.00,-180.00,322.00,-4.00
